Letterboxd URI,Title,Year,imdb,tmdb
/film/avengers-age-of-ultron/,Avengers: Age of Ultron,2015,tt2395427,99861
/film/the-favourite/,The Favourite,2018,tt5083738,375262
/film/star-wars-the-rise-of-skywalker/,Star Wars: The Rise of Skywalker,2019,tt2527338,181812
/film/lost-in-translation/,Lost in Translation,2003,tt0335266,153
/film/the-big-lebowski/,The Big Lebowski,1998,tt0118715,115
/film/the-irishman-2019/,The Irishman,2019,tt1302006,398978
/film/psycho/,Psycho,1960,tt0054215,539
/film/the-witch-2015/,The Witch,2015,tt4263482,310131
/film/harry-potter-and-the-philosophers-stone/,Harry Potter and the Philosopher's Stone,2001,tt0241527,671
/film/wonder-woman-2017/,Wonder Woman,2017,tt0451279,297762
/film/fantastic-mr-fox/,Fantastic Mr. Fox,2009,tt0432283,10315
/film/finding-nemo/,Finding Nemo,2003,tt0266543,12
/film/fargo/,Fargo,1996,tt0116282,275
/film/good-will-hunting/,Good Will Hunting,1997,tt0119217,489
/film/moonrise-kingdom/,Moonrise Kingdom,2012,tt1748122,83666
/film/the-hateful-eight/,The Hateful Eight,2015,tt3460252,273248
/film/three-billboards-outside-ebbing-missouri/,"Three Billboards Outside Ebbing, Missouri",2017,tt5027774,359940
/film/the-lobster/,The Lobster,2015,tt3464902,254320
/film/my-neighbor-totoro/,My Neighbor Totoro,1988,tt0096283,8392
/film/john-wick/,John Wick,2014,tt2911666,245891
/film/ant-man/,Ant-Man,2015,tt0478970,102899
/film/dead-poets-society/,Dead Poets Society,1989,tt0097165,207
/film/the-lion-king/,The Lion King,1994,tt0110357,8587
/film/american-beauty/,American Beauty,1999,tt0169547,14
/film/monsters-inc/,"Monsters, Inc.",2001,tt0198781,585
/film/there-will-be-blood/,There Will Be Blood,2007,tt0469494,7345
/film/the-prestige/,The Prestige,2006,tt0482571,1124
/film/split-2016/,Split,2016,tt4972582,381288
/film/i-tonya/,"I, Tonya",2017,tt5580036,389015
/film/captain-america-the-first-avenger/,Captain America: The First Avenger,2011,tt0458339,1771
/film/black-widow-2021/,Black Widow,2021,tt3480822,497698
/film/the-florida-project/,The Florida Project,2017,tt5649144,394117
/film/the-departed/,The Departed,2006,tt0407887,1422
/film/promising-young-woman/,Promising Young Woman,2020,tt9620292,582014
/film/amelie/,Amélie,2001,tt0211915,194
/film/nomadland/,Nomadland,2020,tt9770150,581734
/film/mulholland-drive/,Mulholland Drive,2001,tt0166924,1018
/film/schindlers-list/,Schindler's List,1993,tt0108052,424
/film/jaws/,Jaws,1975,tt0073195,578
/film/a-star-is-born-2018/,A Star Is Born,2018,tt1517451,332562
/film/requiem-for-a-dream/,Requiem for a Dream,2000,tt0180093,641
/film/sound-of-metal/,Sound of Metal,2019,tt5363618,502033
/film/catch-me-if-you-can-2002/,Catch Me If You Can,2002,tt0264464,640
/film/annihilation/,Annihilation,2018,tt2798920,300668
/film/deadpool-2/,Deadpool 2,2018,tt5463162,383498
/film/kill-bill-vol-2/,Kill Bill: Vol. 2,2004,tt0378194,393
/film/isle-of-dogs-2018/,Isle of Dogs,2018,tt5104604,399174
/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,tt7713068,495764
/film/avatar/,Avatar,2009,tt0499549,19995
/film/suicide-squad-2016/,Suicide Squad,2016,tt1386697,297761
/film/10-things-i-hate-about-you/,10 Things I Hate About You,1999,tt0147800,4951
/film/pans-labyrinth/,Pan's Labyrinth,2006,tt0457430,1417
/film/prisoners/,Prisoners,2013,tt1392214,146233
/film/harry-potter-and-the-deathly-hallows-part-2/,Harry Potter and the Deathly Hallows: Part 2,2011,tt1201607,12445
/film/zootopia/,Zootopia,2016,tt2948356,269149
/film/harry-potter-and-the-chamber-of-secrets/,Harry Potter and the Chamber of Secrets,2002,tt0295297,672
/film/harry-potter-and-the-goblet-of-fire/,Harry Potter and the Goblet of Fire,2005,tt0330373,674
/film/little-miss-sunshine/,Little Miss Sunshine,2006,tt0449059,773
/film/iron-man-3/,Iron Man 3,2013,tt1300854,68721
/film/toy-story-3/,Toy Story 3,2010,tt0435761,10193
/film/ferris-buellers-day-off/,Ferris Bueller's Day Off,1986,tt0091042,9377
/film/howls-moving-castle/,Howl's Moving Castle,2004,tt0347149,4935
/film/room-2015/,Room,2015,tt3170832,264644
/film/snowpiercer/,Snowpiercer,2013,tt1706620,110415
/film/500-days-of-summer/,(500) Days of Summer,2009,tt1022603,19913
/film/star-wars-episode-iii-revenge-of-the-sith/,Star Wars: Episode III - Revenge of the Sith,2005,tt0121766,1895
/film/kingsman-the-secret-service/,Kingsman: The Secret Service,2014,tt2802144,207703
/film/roma-2018/,Roma,2018,tt6155172,426426
/film/thor/,Thor,2011,tt0800369,10195
/film/apocalypse-now/,Apocalypse Now,1979,tt0078788,28
/film/spider-man/,Spider-Man,2002,tt0145487,557
/film/the-godfather-part-ii/,The Godfather: Part II,1974,tt0071562,240
/film/toy-story-4/,Toy Story 4,2019,tt1979376,301528
/film/saving-private-ryan/,Saving Private Ryan,1998,tt0120815,857
/film/superbad/,Superbad,2007,tt0829482,8363
/film/mother-2017/,mother!,2017,tt5109784,381283
/film/im-thinking-of-ending-things/,I'm Thinking of Ending Things,2020,tt7939766,500840
/film/oldboy/,Oldboy,2003,tt0364569,670
/film/shaun-of-the-dead/,Shaun of the Dead,2004,tt0365748,747
/film/raiders-of-the-lost-ark/,Raiders of the Lost Ark,1981,tt0082971,85
/film/gravity-2013/,Gravity,2013,tt1454468,49047
/film/minari/,Minari,2020,tt10633456,615643
/film/luca-2021/,Luca,2021,tt12801262,508943
/film/palm-springs-2020/,Palm Springs,2020,tt9484998,587792
/film/before-sunrise/,Before Sunrise,1995,tt0112471,76
/film/star-wars-episode-i-the-phantom-menace/,Star Wars: Episode I - The Phantom Menace,1999,tt0120915,1893
/film/home-alone/,Home Alone,1990,tt0099785,771
/film/iron-man-2/,Iron Man 2,2010,tt1228705,10138
/film/leon-the-professional/,Léon: The Professional,1994,tt0110413,101
/film/the-hunger-games/,The Hunger Games,2012,tt1392170,70160
/film/trainspotting/,Trainspotting,1996,tt0117951,627
/film/good-time/,Good Time,2017,tt4846232,429200
/film/princess-mononoke/,Princess Mononoke,1997,tt0119698,128
/film/mean-girls/,Mean Girls,2004,tt0377092,10625
/film/harry-potter-and-the-order-of-the-phoenix/,Harry Potter and the Order of the Phoenix,2007,tt0373889,675
/film/ant-man-and-the-wasp/,Ant-Man and the Wasp,2018,tt5095030,363088
/film/moana-2016/,Moana,2016,tt3521164,277834
/film/the-thing/,The Thing,1982,tt0084787,1091
/film/harry-potter-and-the-deathly-hallows-part-1/,Harry Potter and the Deathly Hallows: Part 1,2010,tt0926084,12444
/film/the-nice-guys/,The Nice Guys,2016,tt3799694,290250
/film/vertigo/,Vertigo,1958,tt0052357,426
/film/batman-1989/,Batman,1989,tt0096895,268
/film/hell-or-high-water/,Hell or High Water,2016,tt2582782,338766
/film/20th-century-women/,20th Century Women,2016,tt4385888,342737
/film/amadeus/,Amadeus,1984,tt0086879,279
/film/inherent-vice/,Inherent Vice,2014,tt1791528,171274
/film/twelve-monkeys/,Twelve Monkeys,1995,tt0114746,63
/film/paddington/,Paddington,2014,tt1109624,116149
/film/airplane/,Airplane!,1980,tt0080339,813
/film/atonement/,Atonement,2007,tt0783233,4347
/film/honey-boy/,Honey Boy,2019,tt8151874,512263
/film/godzilla-2014/,Godzilla,2014,tt0831387,124905
/film/the-seventh-seal/,The Seventh Seal,1957,tt0050976,490
/film/gangs-of-new-york-2002/,Gangs of New York,2002,tt0217505,3131
/film/minority-report/,Minority Report,2002,tt0181689,180
/film/home-alone-2-lost-in-new-york/,Home Alone 2: Lost in New York,1992,tt0104431,772
/film/jumanji/,Jumanji,1995,tt0113497,8844
/film/death-proof/,Death Proof,2007,tt1028528,1991
/film/lion/,Lion,2016,tt3741834,334543
/film/adaptation/,Adaptation.,2002,tt0268126,2757
/film/dogtooth/,Dogtooth,2009,tt1379182,38810
/film/annie-hall/,Annie Hall,1977,tt0075686,703
/film/mamma-mia-here-we-go-again/,Mamma Mia! Here We Go Again,2018,tt6911608,458423
